id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
504prdCoPRtVRkA6yUNqb9,0.805,0.663,3,-4.359,0,0.0543,0.0186,0.000577,0.0624,0.586,125.851,187720,4,studio
6aWgqdT3PCettGm19T29GM,0.889,0.687,1,-4.131,1,0.316,0.0114,0,0.376,0.641,123.121,205147,4,studio
578Eooad7oUyn4stovZiPg,0.673,0.607,5,-6.484,0,0.0611,0.181,0,0.069,0.215,88.952,221280,4,studio
0dsDhsaIwzywF3xZajgL6W,0.659,0.706,1,-5.306,0,0.0384,0.157,3.47e-06,0.703,0.292,135.049,186590,4,studio
2vhd0RbmjWL1EnkvnsQLe1,0.386,0.889,6,-6.755,0,0.23,0.542,0,0.107,0.267,77.495,179613,4,studio
5Dw7Va6ij1yIh6tyMRpmLC,0.82,0.628,1,-3.745,0,0.0419,0.0236,0,0.119,0.707,122.006,228949,4,studio
5HBDU0kn4f4hkZMjABsltT,0.641,0.538,1,-6.582,1,0.0287,0.0275,0.00149,0.11,0.16,127.505,257733,4,studio
7uCQb1MoL0kC4nw6WsGk38,0.663,0.419,1,-5.393,1,0.0355,0.0284,0,0.209,0.149,93.012,229120,4,studio
48xq0DnfAKtsFjK1L7GZx9,0.717,0.73,2,-3.983,1,0.0873,0.177,3.85e-06,0.0628,0.703,122.713,151133,4,studio
0Xxww5aUyamJlEm8GkP21i,0.789,0.653,0,-5.669,1,0.0522,0.378,0,0.276,0.834,91.787,213733,4,studio
6lQ0FcTXxMkPQ2Izkriy2E,0.637,0.394,3,-6.401,1,0.0297,0.0616,0,0.2,0.143,164.026,236587,4,studio
1TZGMJxT3gPDkwZyfcc9ED,0.595,0.611,10,-9.388,1,0.0266,0.0447,8.48e-06,0.344,0.275,102.998,218000,3,studio
4v5JCbre7dpzBsmS4LUvtW,0.823,0.325,3,-3.618,1,0.0417,7.71e-05,0,0.289,0.409,185.745,236133,4,studio
3tUcVY5vgYdMwMiUi0dqhe,0.717,0.395,6,-5.035,1,0.0314,0.00149,0.0015,0.0484,0.265,139.987,262213,4,studio
64c45et47VnSv04LvzLt4C,0.475,0.62,8,-8.603,1,0.0252,0.37,0,0.108,0.508,127.429,217000,4,studio
3oFBDkFIPoTlSQ1C2KRFSv,0.952,0.503,9,-2.406,1,0.149,0.0221,9.73e-06,0.112,0.552,152.215,178840,4,studio
7DHjerIyPHNokLIQOmbo9b,0.973,0.585,2,-2.894,1,0.0733,0.00676,5.21e-05,0.262,0.958,161.05,241973,4,studio
3dovg4Mfj5EksLrMPrIzSj,0.811,0.689,7,-4.708,1,0.0264,0.00288,0,0.207,0.47,123.008,209253,4,studio
0gsLWzySRe81KoY4LENNY4,0.921,0.616,4,-4.514,0,0.0301,0.057,0.0016,0.853,0.76,131.95,269200,4,studio
4vqHz44pzFSfDNIE20QRBu,0.73,0.756,11,-5.292,1,0.032,0.0224,1.24e-05,0.139,0.917,115.977,254107,4,studio
7uU3Jb0ELZN8ilYwwMdEjd,0.952,0.657,4,-5.534,1,0.0371,0.00183,0.000392,0.135,0.825,132.487,237480,4,studio
262gSLgPEBJvowplt7WavQ,0.863,0.584,4,-3.707,0,0.194,0.000331,0.206,0.207,0.695,103.946,178347,4,studio
7cbzwT8UAoNSMrK0sm6ZtP,0.877,0.654,4,-3.921,0,0.0327,0.00531,0.000281,0.0734,0.76,128.058,348387,4,studio
2vDW5s3RpQNJp9gkhMB1da,0.571,0.632,1,-7.356,1,0.025,0.152,0.000127,0.275,0.328,113.98,223040,4,studio
3Y0VSWTyXPeOevtxyLSoYl,0.56,0.565,7,-5.257,1,0.0268,0.00945,1.21e-06,0.305,0.289,91.967,221680,4,studio
0xZgdvjmnEHdpDVm0evG0g,0.887,0.637,7,-3.363,1,0.0384,0.00279,0,0.0458,0.901,117.978,182160,4,studio
1GR1U3xkN1gf8dzvcyGxfa,0.786,0.587,10,-6.553,0,0.0308,0.1,3.24e-05,0.0808,0.486,129.88,202907,4,studio
6XZpVCFrDf2XMtyaX1Wst0,0.714,0.539,8,-4.925,0,0.0278,0.0489,0.000594,0.17,0.592,139.055,235333,4,studio
0xpEgKosAcAsNHbqOq5bo7,0.757,0.646,2,-3.927,1,0.0326,0.00389,1.17e-06,0.11,0.375,127.541,212960,4,studio
2X9HHYtslWjm1rnh1Vy91g,0.849,0.506,2,-3.782,1,0.0431,0.00676,5.65e-06,0.329,0.319,129.935,211000,4,studio
1zLWUJOhY6yL345ENiioVF,0.941,0.467,11,-3.483,1,0.106,0.00587,3.66e-06,0.316,0.687,136.893,192960,4,studio
7AJaLDZCZuhsk2ReaqBpg4,0.915,0.563,5,-2.452,1,0.0363,0.0149,1.35e-05,0.176,0.263,126.982,270520,4,studio
2oq7025OFUrarY3WyQ9XmM,0.781,0.609,10,-4.651,0,0.0415,0.000209,0.165,0.11,0.671,149.98,186085,4,studio
1aiTq20eMuUtW0RS8AaXbS,0.626,0.636,2,-5.539,1,0.0544,0.0171,0,0.0696,0.634,146.008,209120,4,studio
5YdPlbnZLbnCjTFyfap1zN,0.89,0.698,6,-4.196,0,0.0377,0.0399,1.15e-05,0.3,0.8,127.978,232307,4,studio
3XC7jqT27zQWdesY2rbwMf,0.811,0.646,6,-4.694,1,0.0526,0.00175,3.78e-05,0.103,0.311,127.951,215041,4,studio
2mNKIuM4xmeTNwe02NOem8,0.914,0.788,4,-3.368,0,0.0384,0.0539,0.0159,0.0762,0.935,121.982,196947,4,studio
1IGce0abNTN99uNhpRpUyc,0.965,0.596,0,-4.497,0,0.0728,0.00711,0,0.234,0.542,130.072,252133,4,studio
0QflLLzGYsm6KiyseCf0CK,0.963,0.685,5,-2.408,1,0.0483,0.206,0,0.162,0.502,119.998,225200,4,studio
0r2VwpyROiLOxejkvbtPZo,0.937,0.575,6,-3.445,0,0.031,0.00127,6.07e-05,0.0638,0.881,135.002,224320,4,studio
6YgjdjpXJ4OhDwp9CG8Jc2,0.647,0.654,9,-4.354,1,0.0469,0.0778,0,0.0323,0.91,89.988,198293,4,studio
