id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
4SCJH07MVCOOCxDkOF2xZG,0.622,0.363,9,-13.149,1,0.107,0.101,2.34e-06,0.864,0.524,201.091,244147,4,live
5Skv5w8FNODrrN8MR3QSPf,0.578,0.507,11,-15.079,0,0.045,0.202,0,0.988,0.873,128.373,233667,4,live
4arAdS8VHo30vYrfKD9ZSA,0.933,0.425,11,-9.282,1,0.0683,0.388,0.0252,0.981,0.355,112.055,211573,4,live
5DZCwB5iZswtbWn2jffRxK,0.82,0.284,2,-9.287,1,0.286,0.262,0.000571,0.903,0.271,84.316,261600,4,live
1qIrtHyvVNp1Z9hr7l8ePg,0.85,0.595,9,-6.63,1,0.0731,0.0765,7.62e-06,0.98,0.594,122.62,349013,4,live
0918ZWj5snESt4I12hPDVh,0.976,0.172,1,-9.747,0,0.133,0.00275,0.891,0.86,0.0496,101.77,320840,4,live
0WYxVnp9K6RETCRZbtlGHh,0.854,0.358,5,-7.722,1,0.049,0.00891,0,0.9,0.624,86.468,134867,4,live
62SxKnRm6b1A4p9UNsxOdG,0.327,0.594,2,-9.565,0,0.0501,0.838,5.3e-06,0.873,0.484,122.615,299781,4,live
1jonyK7ius0hTAlj2Tvygx,0.621,0.241,7,-8.395,1,0.045,0.062,0,0.727,0.624,191.838,159733,4,live
12vvIXRsKWpU7Yn3lgArMe,0.921,0.207,1,-7.141,1,0.0747,0.000378,0.0451,0.663,0.327,93.992,321842,4,live
3n7vBgY3CiwKkToHyMwd4j,0.347,0.585,0,-14.296,1,0.03,0.822,2.04e-05,0.615,0.555,133.602,199973,4,live
1oJPF0eaExwbGpYSc2kVQU,0.907,0.286,6,-10.085,1,0.0681,0.0158,0.00495,0.972,0.399,91.467,246344,4,live
4Ic2CKoQcyvh0pDtM63Bl4,0.973,0.412,7,-6.85,1,0.0837,0.00018,0.625,0.948,0.535,135.824,254267,4,live
02hls2g3GlOqUFazZOb8Y6,0.733,0.352,2,-7.435,0,0.0416,0.0162,0,0.973,0.408,80.929,420453,4,live
69WMtlQZLc9zw537JOMFE2,0.658,0.618,11,-6.964,0,0.0345,0.357,5.11e-05,0.237,0.693,119.378,206400,4,live
0BiRamRul1k7gr6lslXLb2,0.794,0.434,7,-5.92,1,0.0659,0.65,0.0557,0.751,0.907,148.774,217373,4,live
